Feature,Importance
Online boarding,0.20922586701040335
Class,0.1468977454076274
Inflight wifi service,0.14462149963819315
Type of Travel,0.10358107375345331
Inflight entertainment,0.07303841294969894
Seat comfort,0.04420934653611534
Ease of Online booking,0.042523442697397745
Leg room service,0.04192614558663088
Customer Type,0.037437303726992575
On-board service,0.02514790231615922
